candidate,C,pca_dim,selected_count,family
cheap_plus_hidden_pca_16,0.1,16,49,cheap_plus_hidden_pca
cheap_plus_hidden_pca_16,1.0,16,10,cheap_plus_hidden_pca
cheap_plus_hidden_pca_16,10.0,16,18,cheap_plus_hidden_pca
cheap_plus_hidden_pca_32,0.1,32,15,cheap_plus_hidden_pca
cheap_plus_hidden_pca_32,1.0,32,7,cheap_plus_hidden_pca
cheap_plus_hidden_pca_32,10.0,32,13,cheap_plus_hidden_pca
cheap_plus_hidden_pca_64,0.1,64,5,cheap_plus_hidden_pca
cheap_plus_hidden_pca_64,1.0,64,1,cheap_plus_hidden_pca
cheap_plus_hidden_pca_64,10.0,64,2,cheap_plus_hidden_pca
hidden_pca_16,0.1,16,31,hidden_pca
hidden_pca_16,1.0,16,12,hidden_pca
hidden_pca_16,10.0,16,10,hidden_pca
hidden_pca_32,0.1,32,31,hidden_pca
hidden_pca_32,1.0,32,8,hidden_pca
hidden_pca_32,10.0,32,7,hidden_pca
hidden_pca_64,0.1,64,12,hidden_pca
hidden_pca_64,1.0,64,1,hidden_pca
hidden_pca_64,10.0,64,8,hidden_pca
cheap,0.1,0,69,confidence_option
cheap,1.0,0,26,confidence_option
cheap,10.0,0,25,confidence_option
