selection_scheme,metric,n_pairs,mean_delta,median_delta,positive,negative
"Validation AUROC, full grid",AUROC,120,-0.01689471453040038,-0.0033683672332568415,49,71
"Validation AUROC, full grid",AUPRC-fail,120,-0.012398967407600861,-0.008009650268342494,47,73
"Validation AUROC, full grid",Risk@80%,120,0.00166666666666667,0.0,51,45
"Validation AUROC, full grid",AURC,120,0.00458437304878054,0.0005757657125747551,62,58
"Validation AURC, full grid",AUROC,120,-0.017601713666063595,-0.0061315035273368235,44,76
"Validation AURC, full grid",AUPRC-fail,120,-0.012238812708187942,-0.009476320162153329,45,75
"Validation AURC, full grid",Risk@80%,120,0.002430555555555557,0.0,50,38
"Validation AURC, full grid",AURC,120,0.005784861433016401,0.0014704928274642017,66,54
"Validation Risk@80%, full grid",AUROC,120,-0.015617832676989232,-0.0021229667523822715,53,65
"Validation Risk@80%, full grid",AUPRC-fail,120,-0.008686180381305383,-0.007779289576738235,48,72
"Validation Risk@80%, full grid",Risk@80%,120,0.0022743055555555585,0.0,57,39
"Validation Risk@80%, full grid",AURC,120,0.004679421527420612,-0.00016149184173875133,60,60
"Validation AUROC, equal budget (PCA=32)",AUROC,120,-0.023266729297005788,-0.00642607118758437,41,79
"Validation AUROC, equal budget (PCA=32)",AUPRC-fail,120,-0.01659012216153315,-0.0073318927214160445,50,70
"Validation AUROC, equal budget (PCA=32)",Risk@80%,120,0.004288194444444446,0.003124999999999989,60,36
"Validation AUROC, equal budget (PCA=32)",AURC,120,0.006702186712312752,0.001948051988394598,72,48
