model,dataset,n,acc,dataset_disp,model_disp
deepseek_r1_qwen7b,arc_challenge,299,0.3244147157190635,ARC-C,DeepSeek-R1-Qwen-7B
deepseek_r1_qwen7b,commonsenseqa,1000,0.223,CSQA,DeepSeek-R1-Qwen-7B
deepseek_r1_qwen7b,hellaswag,1000,0.258,HellaSwag,DeepSeek-R1-Qwen-7B
deepseek_r1_qwen7b,mmlu_all,1000,0.291,MMLU,DeepSeek-R1-Qwen-7B
falcon3_7b_instruct,arc_challenge,299,0.8361204013377926,ARC-C,Falcon3-7B
falcon3_7b_instruct,commonsenseqa,1000,0.779,CSQA,Falcon3-7B
falcon3_7b_instruct,hellaswag,1000,0.761,HellaSwag,Falcon3-7B
falcon3_7b_instruct,mmlu_all,1000,0.608,MMLU,Falcon3-7B
mistral7b_v03,arc_challenge,299,0.7792642140468228,ARC-C,Mistral-7B-v0.3
mistral7b_v03,commonsenseqa,1000,0.707,CSQA,Mistral-7B-v0.3
mistral7b_v03,hellaswag,1000,0.693,HellaSwag,Mistral-7B-v0.3
mistral7b_v03,mmlu_all,1000,0.596,MMLU,Mistral-7B-v0.3
olmo2_7b_instruct,arc_challenge,299,0.7357859531772575,ARC-C,OLMo2-7B
olmo2_7b_instruct,commonsenseqa,1000,0.731,CSQA,OLMo2-7B
olmo2_7b_instruct,hellaswag,1000,0.628,HellaSwag,OLMo2-7B
olmo2_7b_instruct,mmlu_all,1000,0.549,MMLU,OLMo2-7B
qwen25_7b,arc_challenge,299,0.8996655518394648,ARC-C,Qwen2.5-7B
qwen25_7b,commonsenseqa,1000,0.824,CSQA,Qwen2.5-7B
qwen25_7b,hellaswag,1000,0.836,HellaSwag,Qwen2.5-7B
qwen25_7b,mmlu_all,1000,0.683,MMLU,Qwen2.5-7B
gemma2_9b_it,arc_challenge,299,0.919732441471572,ARC-C,Gemma-2-9B-IT
gemma2_9b_it,commonsenseqa,1000,0.79,CSQA,Gemma-2-9B-IT
gemma2_9b_it,hellaswag,1000,0.779,HellaSwag,Gemma-2-9B-IT
gemma2_9b_it,mmlu,1000,0.727,MMLU,Gemma-2-9B-IT
llama31_8b_instruct,arc_challenge,299,0.7993311036789298,ARC-C,Llama-3.1-8B-Instruct
llama31_8b_instruct,commonsenseqa,1000,0.741,CSQA,Llama-3.1-8B-Instruct
llama31_8b_instruct,hellaswag,1000,0.672,HellaSwag,Llama-3.1-8B-Instruct
llama31_8b_instruct,mmlu,1000,0.613,MMLU,Llama-3.1-8B-Instruct
