model,dataset,family,auroc
deepseek_r1_qwen7b,arc_challenge,Confidence/option,0.6470322215941209
deepseek_r1_qwen7b,arc_challenge,Conf./option + summaries,0.6382136800452234
deepseek_r1_qwen7b,arc_challenge,Conf./option + PCA hidden,0.6195590729225551
deepseek_r1_qwen7b,arc_challenge,Hidden summaries,0.4853589598643301
deepseek_r1_qwen7b,arc_challenge,PCA hidden emb.,0.5106840022611645
deepseek_r1_qwen7b,commonsenseqa,Confidence/option,0.652104285439754
deepseek_r1_qwen7b,commonsenseqa,Conf./option + summaries,0.608609313945295
deepseek_r1_qwen7b,commonsenseqa,Conf./option + PCA hidden,0.6168214720389469
deepseek_r1_qwen7b,commonsenseqa,Hidden summaries,0.5015565947088592
deepseek_r1_qwen7b,commonsenseqa,PCA hidden emb.,0.5263211837806675
deepseek_r1_qwen7b,hellaswag,Confidence/option,0.5290780967911013
deepseek_r1_qwen7b,hellaswag,Conf./option + summaries,0.5812474520994699
deepseek_r1_qwen7b,hellaswag,Conf./option + PCA hidden,0.5603983460485703
deepseek_r1_qwen7b,hellaswag,Hidden summaries,0.5458389144487799
deepseek_r1_qwen7b,hellaswag,PCA hidden emb.,0.5267252926445751
deepseek_r1_qwen7b,mmlu_all,Confidence/option,0.6107063838972533
deepseek_r1_qwen7b,mmlu_all,Conf./option + summaries,0.5997733527602396
deepseek_r1_qwen7b,mmlu_all,Conf./option + PCA hidden,0.5856348820894717
deepseek_r1_qwen7b,mmlu_all,Hidden summaries,0.5276239814365118
deepseek_r1_qwen7b,mmlu_all,PCA hidden emb.,0.5253251308617991
falcon3_7b_instruct,arc_challenge,Confidence/option,0.8252444444444444
falcon3_7b_instruct,arc_challenge,Conf./option + summaries,0.8152888888888888
falcon3_7b_instruct,arc_challenge,Conf./option + PCA hidden,0.8334222222222222
falcon3_7b_instruct,arc_challenge,Hidden summaries,0.7386666666666667
falcon3_7b_instruct,arc_challenge,PCA hidden emb.,0.8007111111111112
falcon3_7b_instruct,commonsenseqa,Confidence/option,0.8241647241647241
falcon3_7b_instruct,commonsenseqa,Conf./option + summaries,0.8301217301217301
falcon3_7b_instruct,commonsenseqa,Conf./option + PCA hidden,0.8280756280756281
falcon3_7b_instruct,commonsenseqa,Hidden summaries,0.7388111888111888
falcon3_7b_instruct,commonsenseqa,PCA hidden emb.,0.768104118104118
falcon3_7b_instruct,hellaswag,Confidence/option,0.810428849902534
falcon3_7b_instruct,hellaswag,Conf./option + summaries,0.8220394736842105
falcon3_7b_instruct,hellaswag,Conf./option + PCA hidden,0.8166910331384015
falcon3_7b_instruct,hellaswag,Hidden summaries,0.7397904483430799
falcon3_7b_instruct,hellaswag,PCA hidden emb.,0.775
falcon3_7b_instruct,mmlu_all,Confidence/option,0.8027193145837213
falcon3_7b_instruct,mmlu_all,Conf./option + summaries,0.815282175451667
falcon3_7b_instruct,mmlu_all,Conf./option + PCA hidden,0.8192587073943006
falcon3_7b_instruct,mmlu_all,Hidden summaries,0.7960141553361892
falcon3_7b_instruct,mmlu_all,PCA hidden emb.,0.8144999068727883
mistral7b_v03,arc_challenge,Confidence/option,0.6854285714285714
