model,dataset,seed,combined_auroc,drop_when_permute_cheap,drop_when_permute_hidden
deepseek_r1_qwen7b,arc_challenge,42,0.5121537591859808,0.0032598454870925,-0.0479932165065008
deepseek_r1_qwen7b,arc_challenge,7,0.57263990955342,0.1323158093084605,-0.0684755982664405
deepseek_r1_qwen7b,arc_challenge,123,0.5647258338044092,0.0811381194648576,-0.0041266252119842
deepseek_r1_qwen7b,arc_challenge,777,0.5743357829282081,0.0471264367816092,0.0318824194460147
deepseek_r1_qwen7b,arc_challenge,2025,0.6065573770491803,0.116544186922932,0.0096853212737893
deepseek_r1_qwen7b,commonsenseqa,42,0.600538082121581,0.0936497768667393,0.0146969017573079
deepseek_r1_qwen7b,commonsenseqa,7,0.61943501377234,0.1200990754382593,0.0258535647940554
deepseek_r1_qwen7b,commonsenseqa,123,0.6117481263211837,0.1238934084940105,0.0088356500758011
deepseek_r1_qwen7b,commonsenseqa,777,0.6244314906155916,0.0858219631456451,0.0454124228642196
deepseek_r1_qwen7b,commonsenseqa,2025,0.601178656075844,0.102632758952021,0.0241987487455427
deepseek_r1_qwen7b,hellaswag,42,0.5845320598683829,0.0304855085124144,0.0878884941665212
deepseek_r1_qwen7b,hellaswag,7,0.6089336672296314,0.0422961194261643,0.0798380991206103
deepseek_r1_qwen7b,hellaswag,123,0.5684002096558151,0.0247956826432163,0.0543416225030574
deepseek_r1_qwen7b,hellaswag,777,0.5386989691922428,0.0103197251179314,0.03703725273232
deepseek_r1_qwen7b,hellaswag,2025,0.5014268242967794,0.0396948343136683,-0.0468541921456719
deepseek_r1_qwen7b,mmlu_all,42,0.5054233446656953,0.0259978774306117,-0.0254438508445308
deepseek_r1_qwen7b,mmlu_all,7,0.5561491554692137,0.0173385138416706,0.0302430162070764
deepseek_r1_qwen7b,mmlu_all,123,0.5506988289892611,0.0507725792815641,0.0081197273037971
deepseek_r1_qwen7b,mmlu_all,777,0.4481139711834223,-0.0235101541560988,-0.0496141600561222
deepseek_r1_qwen7b,mmlu_all,2025,0.5430899573687334,0.0177630277193171,0.0170650981238644
falcon3_7b_instruct,arc_challenge,42,0.7102222222222222,0.1586666666666666,-0.0134518518518518
falcon3_7b_instruct,arc_challenge,7,0.8577777777777779,0.2034962962962963,0.0924148148148149
falcon3_7b_instruct,arc_challenge,123,0.8,0.277362962962963,-0.0057481481481481
falcon3_7b_instruct,arc_challenge,777,0.8302222222222222,0.2627851851851852,0.0434074074074073
falcon3_7b_instruct,arc_challenge,2025,0.9013333333333332,0.2080296296296296,0.1643851851851852
falcon3_7b_instruct,commonsenseqa,42,0.8297073297073297,0.2741906241906242,0.0845571095571096
falcon3_7b_instruct,commonsenseqa,7,0.8029655529655529,0.243052318052318,0.1271907105240438
falcon3_7b_instruct,commonsenseqa,123,0.7850945350945351,0.2374924458257791,0.1193451610118276
falcon3_7b_instruct,commonsenseqa,777,0.8295130795130795,0.2642752309418976,0.155741172407839
falcon3_7b_instruct,commonsenseqa,2025,0.8138435638435638,0.2643917810584476,0.0910321160321159
falcon3_7b_instruct,hellaswag,42,0.8023269980506823,0.1614156920077973,0.2548611111111112
falcon3_7b_instruct,hellaswag,7,0.8557504873294347,0.2423590805717999,0.2208495776478232
falcon3_7b_instruct,hellaswag,123,0.8068957115009746,0.2556022579597141,0.1968262670565302
falcon3_7b_instruct,hellaswag,777,0.7825292397660818,0.1431002274204028,0.1812967024041584
falcon3_7b_instruct,hellaswag,2025,0.8298001949317738,0.193902290448343,0.2041341780376867
