model,signal_family,mean_latency_ms,p95_latency_ms,peak_vram_gb,relative_latency
qwen25_7b,conf./option,251.3249100333875,262.5836046491713,5.329626083374023,1.0
qwen25_7b,conf.+hidden readout,272.7224464501281,285.3990568505651,5.346288681030273,1.085138939924013
qwen25_7b,5x generation,1657.5309824000517,1740.930576699975,5.3347578048706055,6.595171891953947
mistral7b_v03,conf./option,238.84869091659007,248.53192109949305,5.104607582092285,1.0
mistral7b_v03,conf.+hidden readout,243.1578740499693,248.82314079914067,5.112641334533691,1.0180414768732564
mistral7b_v03,5x generation,2508.374298116541,2555.01291715118,5.109247207641602,10.501938647813262
olmo2_7b_instruct,conf./option,274.5769250666247,287.74068930160865,6.5704345703125,1.0
olmo2_7b_instruct,conf.+hidden readout,279.2824453166759,290.2209074505663,6.588058471679688,1.017137347753856
olmo2_7b_instruct,5x generation,2384.4780864000923,2418.512575701516,6.608036518096924,8.684189634003333
falcon3_7b_instruct,conf./option,259.08850339986503,266.96642159922703,6.68220329284668,1.0
falcon3_7b_instruct,conf.+hidden readout,272.470375966562,274.6027621496978,6.692417144775391,1.0516498122884443
falcon3_7b_instruct,5x generation,1695.6481222668117,1721.3166278505923,6.689665794372559,6.544667555741862
deepseek_r1_qwen7b,conf./option,258.9189325331669,271.44470509929306,8.763418197631836,1.0
deepseek_r1_qwen7b,conf.+hidden readout,287.38241203321496,299.9257777493767,8.775915145874023,1.1099320131655568
deepseek_r1_qwen7b,5x generation,2301.657560716679,2332.2405469502883,8.767268180847168,8.889491155390276
gemma2_9b_it,conf./option,270.4223987874798,274.88027380004496,2.67578125,1.0
gemma2_9b_it,conf.+hidden readout,280.5050583750358,283.420749100128,2.697265625,1.0372848537427544
gemma2_9b_it,5x generation,3098.4832891625106,3149.783937049756,2.685546875,11.45793877672668
llama31_8b_instruct,conf./option,266.34265881250485,272.3855731502226,2.470703125,1.0
llama31_8b_instruct,conf.+hidden readout,257.815660850099,265.1957514502556,2.494140625,0.9679848583008682
llama31_8b_instruct,5x generation,1917.916851974951,2072.9762051500984,2.47265625,7.200937546114578
