model,dataset,seed,pca_dim,cheap_auroc,cheap_plus_pca_auroc,gain,pca_variance
deepseek_r1_qwen7b,arc_challenge,42,8,0.6579988694177501,0.6297343131712833,-0.0282645562464668,0.4597551822662353
deepseek_r1_qwen7b,arc_challenge,42,16,0.6579988694177501,0.6370830977953647,-0.0209157716223854,0.5795608758926392
deepseek_r1_qwen7b,arc_challenge,42,32,0.6579988694177501,0.5178066704352742,-0.1401921989824759,0.6932266354560852
deepseek_r1_qwen7b,arc_challenge,42,64,0.6579988694177501,0.5121537591859808,-0.1458451102317692,0.8114538788795471
deepseek_r1_qwen7b,arc_challenge,42,128,0.6579988694177501,0.4946297343131713,-0.1633691351045788,0.9295393228530884
deepseek_r1_qwen7b,arc_challenge,42,256,0.6579988694177501,0.5019785189372526,-0.1560203504804974,0.9999998807907104
deepseek_r1_qwen7b,arc_challenge,7,8,0.6930469191633691,0.6568682871678914,-0.0361786319954777,0.448088526725769
deepseek_r1_qwen7b,arc_challenge,7,16,0.6930469191633691,0.6127755794234031,-0.080271339739966,0.5692143440246582
deepseek_r1_qwen7b,arc_challenge,7,32,0.6930469191633691,0.5941209723007348,-0.0989259468626343,0.6851541996002197
deepseek_r1_qwen7b,arc_challenge,7,64,0.6930469191633691,0.57263990955342,-0.1204070096099491,0.8061431050300598
deepseek_r1_qwen7b,arc_challenge,7,128,0.6930469191633691,0.5279819106840022,-0.1650650084793669,0.9272431135177612
deepseek_r1_qwen7b,arc_challenge,7,256,0.6930469191633691,0.5178066704352742,-0.1752402487280949,1.0
deepseek_r1_qwen7b,arc_challenge,123,8,0.6913510457885812,0.6546071226681741,-0.036743923120407,0.4452554881572723
deepseek_r1_qwen7b,arc_challenge,123,16,0.6913510457885812,0.6659129451667609,-0.0254381006218202,0.5691540837287903
deepseek_r1_qwen7b,arc_challenge,123,32,0.6913510457885812,0.6269078575466366,-0.0644431882419446,0.6854891777038574
deepseek_r1_qwen7b,arc_challenge,123,64,0.6913510457885812,0.5647258338044092,-0.1266252119841719,0.8067874908447266
deepseek_r1_qwen7b,arc_challenge,123,128,0.6913510457885812,0.5602035048049745,-0.1311475409836067,0.9271764755249025
deepseek_r1_qwen7b,arc_challenge,123,256,0.6913510457885812,0.4737139626907857,-0.2176370830977955,1.0
deepseek_r1_qwen7b,arc_challenge,777,8,0.5828151498021481,0.5777275296777841,-0.005087620124364,0.4449670910835266
deepseek_r1_qwen7b,arc_challenge,777,16,0.5828151498021481,0.5618993781797627,-0.0209157716223854,0.5685253739356995
deepseek_r1_qwen7b,arc_challenge,777,32,0.5828151498021481,0.5652911249293386,-0.0175240248728094,0.6866918802261353
deepseek_r1_qwen7b,arc_challenge,777,64,0.5828151498021481,0.5743357829282081,-0.00847936687394,0.8053225874900818
deepseek_r1_qwen7b,arc_challenge,777,128,0.5828151498021481,0.5313736574335783,-0.0514414923685697,0.9270532727241516
deepseek_r1_qwen7b,arc_challenge,777,256,0.5828151498021481,0.5019785189372526,-0.0808366308648954,1.0
deepseek_r1_qwen7b,arc_challenge,2025,8,0.5873374788015828,0.5647258338044092,-0.0226116449971736,0.4359250366687774
deepseek_r1_qwen7b,arc_challenge,2025,16,0.5873374788015828,0.5822498586772187,-0.0050876201243641,0.5625385642051697
deepseek_r1_qwen7b,arc_challenge,2025,32,0.5873374788015828,0.5873374788015828,0.0,0.6806033849716187
deepseek_r1_qwen7b,arc_challenge,2025,64,0.5873374788015828,0.6065573770491803,0.0192198982475975,0.8034965991973877
deepseek_r1_qwen7b,arc_challenge,2025,128,0.5873374788015828,0.5449406444318824,-0.0423968343697004,0.926177442073822
deepseek_r1_qwen7b,arc_challenge,2025,256,0.5873374788015828,0.5505935556811759,-0.0367439231204069,0.9999999403953552
deepseek_r1_qwen7b,commonsenseqa,42,8,0.6235987444750496,0.5946448017423611,-0.0289539427326884,0.35738006234169
deepseek_r1_qwen7b,commonsenseqa,42,16,0.6235987444750496,0.6054064441739799,-0.0181923003010696,0.4670876860618591
deepseek_r1_qwen7b,commonsenseqa,42,32,0.6235987444750496,0.5789507398629172,-0.0446480046121323,0.5778337717056274
deepseek_r1_qwen7b,commonsenseqa,42,64,0.6235987444750496,0.600538082121581,-0.0230606623534685,0.6891472935676575
deepseek_r1_qwen7b,commonsenseqa,42,128,0.6235987444750496,0.635129075651784,0.0115303311767344,0.7949155569076538
deepseek_r1_qwen7b,commonsenseqa,42,256,0.6235987444750496,0.592274678111588,-0.0313240663634616,0.8933984041213989
deepseek_r1_qwen7b,commonsenseqa,7,8,0.6863109345973993,0.6559477291653322,-0.0303632054320671,0.3566401302814483
deepseek_r1_qwen7b,commonsenseqa,7,16,0.6863109345973993,0.6285952213183011,-0.0577157132790981,0.4651179313659668
deepseek_r1_qwen7b,commonsenseqa,7,32,0.6863109345973993,0.6448017423611556,-0.0415091922362437,0.5755694508552551
deepseek_r1_qwen7b,commonsenseqa,7,64,0.6863109345973993,0.61943501377234,-0.0668759208250593,0.6856676340103149
deepseek_r1_qwen7b,commonsenseqa,7,128,0.6863109345973993,0.6171289475369931,-0.0691819870604062,0.7914838790893555
deepseek_r1_qwen7b,commonsenseqa,7,256,0.6863109345973993,0.6114918967394786,-0.0748190378579207,0.8915374279022217
deepseek_r1_qwen7b,commonsenseqa,123,8,0.6812504003587214,0.6880404842739094,0.0067900839151879,0.3580761551856994
deepseek_r1_qwen7b,commonsenseqa,123,16,0.6812504003587214,0.6562680161424637,-0.0249823842162577,0.4669434428215027
deepseek_r1_qwen7b,commonsenseqa,123,32,0.6812504003587214,0.6331432963935687,-0.0481071039651527,0.5778626203536987
deepseek_r1_qwen7b,commonsenseqa,123,64,0.6812504003587214,0.6117481263211837,-0.0695022740375377,0.6887129545211792
deepseek_r1_qwen7b,commonsenseqa,123,128,0.6812504003587214,0.622189481775671,-0.0590609185830504,0.7942409515380859
deepseek_r1_qwen7b,commonsenseqa,123,256,0.6812504003587214,0.5891999231311255,-0.0920504772275959,0.8932723999023438
deepseek_r1_qwen7b,commonsenseqa,777,8,0.6227659983345076,0.5873422586637628,-0.0354237396707448,0.3565669357776642
deepseek_r1_qwen7b,commonsenseqa,777,16,0.6227659983345076,0.5656908590096726,-0.0570751393248349,0.4662461280822754
deepseek_r1_qwen7b,commonsenseqa,777,32,0.6227659983345076,0.5789507398629171,-0.0438152584715905,0.5770203471183777
deepseek_r1_qwen7b,commonsenseqa,777,64,0.6227659983345076,0.6244314906155916,0.0016654922810839,0.6876703500747681
deepseek_r1_qwen7b,commonsenseqa,777,128,0.6227659983345076,0.6025879187752226,-0.020178079559285,0.7936705350875854
deepseek_r1_qwen7b,commonsenseqa,777,256,0.6227659983345076,0.6235987444750497,0.000832746140542,0.8928754329681396
deepseek_r1_qwen7b,commonsenseqa,2025,8,0.646595349433092,0.6758695791429121,0.02927422970982,0.3539441227912903
deepseek_r1_qwen7b,commonsenseqa,2025,16,0.646595349433092,0.674780603420665,0.0281852539875729,0.4633992910385132
deepseek_r1_qwen7b,commonsenseqa,2025,32,0.646595349433092,0.613926077765678,-0.032669271667414,0.5736790299415588
deepseek_r1_qwen7b,commonsenseqa,2025,64,0.646595349433092,0.601178656075844,-0.045416693357248,0.6844340562820435
deepseek_r1_qwen7b,commonsenseqa,2025,128,0.646595349433092,0.6137979629748255,-0.0327973864582665,0.7909052968025208
deepseek_r1_qwen7b,commonsenseqa,2025,256,0.646595349433092,0.5522388059701493,-0.0943565434629427,0.8911869525909424
deepseek_r1_qwen7b,hellaswag,42,8,0.5007862093063886,0.5246636771300448,0.0238774678236561,0.5289580821990967
deepseek_r1_qwen7b,hellaswag,42,16,0.5007862093063886,0.5777764836060801,0.0769902742996915,0.6049042344093323
deepseek_r1_qwen7b,hellaswag,42,32,0.5007862093063886,0.5724768505037564,0.0716906411973677,0.6883497834205627
deepseek_r1_qwen7b,hellaswag,42,64,0.5007862093063886,0.5845320598683829,0.0837458505619942,0.7699238657951355
deepseek_r1_qwen7b,hellaswag,42,128,0.5007862093063886,0.556112049385592,0.0553258400792033,0.8477468490600586
deepseek_r1_qwen7b,hellaswag,42,256,0.5007862093063886,0.5733504163997438,0.0725642070933552,0.920939803123474
deepseek_r1_qwen7b,hellaswag,7,8,0.5739327936637354,0.5964125560538116,0.0224797623900762,0.5324424505233765
deepseek_r1_qwen7b,hellaswag,7,16,0.5739327936637354,0.6025275173257236,0.0285947236619882,0.6064138412475586
deepseek_r1_qwen7b,hellaswag,7,32,0.5739327936637354,0.6119037912759885,0.037970997612253,0.6892303228378296
deepseek_r1_qwen7b,hellaswag,7,64,0.5739327936637354,0.6089336672296314,0.0350008735658959,0.7706681489944458
deepseek_r1_qwen7b,hellaswag,7,128,0.5739327936637354,0.6101566594840138,0.0362238658202783,0.8485753536224365
deepseek_r1_qwen7b,hellaswag,7,256,0.5739327936637354,0.6047987886552909,0.0308659949915555,0.9209578037261964
deepseek_r1_qwen7b,hellaswag,123,8,0.5230912585172675,0.543125036398579,0.0200337778813115,0.5295272469520569
deepseek_r1_qwen7b,hellaswag,123,16,0.5230912585172675,0.5396890105410285,0.016597752023761,0.6047300100326538
deepseek_r1_qwen7b,hellaswag,123,32,0.5230912585172675,0.6056141168248792,0.0825228583076117,0.6876326203346252
deepseek_r1_qwen7b,hellaswag,123,64,0.5230912585172675,0.5684002096558151,0.0453089511385476,0.7696726322174072
deepseek_r1_qwen7b,hellaswag,123,128,0.5230912585172675,0.5656630365150543,0.0425717779977868,0.847790002822876
deepseek_r1_qwen7b,hellaswag,123,256,0.5230912585172675,0.589656979791509,0.0665657212742415,0.9208808541297911
deepseek_r1_qwen7b,hellaswag,777,8,0.4932735426008968,0.5260031448372255,0.0327296022363287,0.5322169065475464
deepseek_r1_qwen7b,hellaswag,777,16,0.4932735426008968,0.5331081474579232,0.0398346048570263,0.6070803999900818
deepseek_r1_qwen7b,hellaswag,777,32,0.4932735426008968,0.5328169588259274,0.0395434162250305,0.6902175545692444
deepseek_r1_qwen7b,hellaswag,777,64,0.4932735426008968,0.5386989691922428,0.0454254265913459,0.7717478275299072
deepseek_r1_qwen7b,hellaswag,777,128,0.4932735426008968,0.522567118979675,0.0292935763787781,0.8492857217788696
deepseek_r1_qwen7b,hellaswag,777,256,0.4932735426008968,0.5290897443363811,0.0358162017354842,0.9215468168258668
deepseek_r1_qwen7b,hellaswag,2025,8,0.5543066798672179,0.5172092481509523,-0.0370974317162656,0.5282156467437744
deepseek_r1_qwen7b,hellaswag,2025,16,0.5543066798672179,0.5219265039892842,-0.0323801758779337,0.6044093370437622
deepseek_r1_qwen7b,hellaswag,2025,32,0.5543066798672179,0.5110942868790402,-0.0432123929881776,0.6878765821456909
deepseek_r1_qwen7b,hellaswag,2025,64,0.5543066798672179,0.5014268242967794,-0.0528798555704385,0.7696080803871155
deepseek_r1_qwen7b,hellaswag,2025,128,0.5543066798672179,0.4953701007512667,-0.0589365791159512,0.8476360440254211
deepseek_r1_qwen7b,hellaswag,2025,256,0.5543066798672179,0.5097548191718596,-0.0445518606953583,0.9206105470657348
deepseek_r1_qwen7b,mmlu_all,42,8,0.5493497382764018,0.5224758512762397,-0.026873887000162,0.4806552529335022
deepseek_r1_qwen7b,mmlu_all,42,16,0.5493497382764018,0.514705088770169,-0.0346446495062328,0.6190846562385559
deepseek_r1_qwen7b,mmlu_all,42,32,0.5493497382764018,0.5029949813825483,-0.0463547568938534,0.7703949213027954
deepseek_r1_qwen7b,mmlu_all,42,64,0.5493497382764018,0.5054233446656953,-0.0439263936107064,0.8556346893310547
deepseek_r1_qwen7b,mmlu_all,42,128,0.5493497382764018,0.5038044358102638,-0.0455453024661379,0.91167151927948
deepseek_r1_qwen7b,mmlu_all,42,256,0.5493497382764018,0.5841562786681777,0.0348065403917758,0.9573363065719604
deepseek_r1_qwen7b,mmlu_all,7,8,0.5747666073066752,0.5724461712805569,-0.0023204360261183,0.4839709401130676
deepseek_r1_qwen7b,mmlu_all,7,16,0.5747666073066752,0.5746586800496466,-0.0001079272570285,0.6250867247581482
deepseek_r1_qwen7b,mmlu_all,7,32,0.5747666073066752,0.5442231935675355,-0.0305434137391397,0.7716103792190552
