model_key,dataset,seed,combined_auc,cheap_group_auc_drop,pca_hidden_group_auc_drop,importance_ratio_cheap_to_pca,n_total
deepseek_r1_qwen7b,arc_challenge,42,0.5121537591859808,0.003259845487092559,-0.0479932165065008,-0.06792304672304945,299
deepseek_r1_qwen7b,arc_challenge,7,0.57263990955342,0.13231580930846054,-0.06847559826644052,-1.9323059989275047,299
deepseek_r1_qwen7b,arc_challenge,123,0.5647258338044092,0.08113811946485767,-0.004126625211984219,-19.662100461385457,299
deepseek_r1_qwen7b,arc_challenge,777,0.5743357829282081,0.04712643678160925,0.03188241944601475,1.4781323876604933,299
deepseek_r1_qwen7b,arc_challenge,2025,0.6065573770491803,0.11654418692293202,0.009685321273789333,12.033073928718691,299
deepseek_r1_qwen7b,commonsenseqa,42,0.600538082121581,0.09364977686673932,0.014696901757307949,6.372076129161062,1000
deepseek_r1_qwen7b,commonsenseqa,7,0.61943501377234,0.12009907543825936,0.025853564794055442,4.64535844052069,1000
deepseek_r1_qwen7b,commonsenseqa,123,0.6117481263211837,0.12389340849401057,0.008835650075801171,14.021991298558136,1000
deepseek_r1_qwen7b,commonsenseqa,777,0.6244314906155916,0.08582196314564514,0.04541242286421968,1.8898344930936108,1000
deepseek_r1_qwen7b,commonsenseqa,2025,0.601178656075844,0.10263275895202104,0.024198748745542707,4.241242389306772,1000
deepseek_r1_qwen7b,hellaswag,42,0.5845320598683829,0.030485508512414463,0.08788849416652121,0.3468657507580809,1000
deepseek_r1_qwen7b,hellaswag,7,0.6089336672296314,0.042296119426164326,0.07983809912061038,0.5297736280236125,1000
deepseek_r1_qwen7b,hellaswag,123,0.5684002096558151,0.0247956826432163,0.05434162250305749,0.45629264458132246,1000
deepseek_r1_qwen7b,hellaswag,777,0.5386989691922428,0.01031972511793147,0.03703725273232005,0.27863095549329103,1000
deepseek_r1_qwen7b,hellaswag,2025,0.5014268242967794,0.03969483431366837,-0.04685419214567199,-0.8471992045258697,1000
deepseek_r1_qwen7b,mmlu_all,42,0.5054233446656953,0.02599787743061172,-0.02544385084453083,-1.0217744786545055,1000
deepseek_r1_qwen7b,mmlu_all,7,0.5561491554692137,0.017338513841670695,0.030243016207076416,0.5733063700518216,1000
deepseek_r1_qwen7b,mmlu_all,123,0.5506988289892611,0.05077257928156413,0.00811972730379714,6.252990694843613,1000
deepseek_r1_qwen7b,mmlu_all,777,0.44811397118342233,-0.02351015415609882,-0.0496141600561222,0.47385976362350235,1000
deepseek_r1_qwen7b,mmlu_all,2025,0.5430899573687334,0.017763027719317155,0.01706509812386448,1.0408980709835924,1000
falcon3_7b_instruct,arc_challenge,42,0.7102222222222222,0.15866666666666665,-0.013451851851851878,-11.795154185898845,299
falcon3_7b_instruct,arc_challenge,7,0.8577777777777779,0.20349629629629634,0.0924148148148149,2.2019878165840585,299
falcon3_7b_instruct,arc_challenge,123,0.8,0.277362962962963,-0.005748148148148128,-48.25257732798226,299
falcon3_7b_instruct,arc_challenge,777,0.8302222222222222,0.2627851851851852,0.04340740740740735,6.053924914536308,299
falcon3_7b_instruct,arc_challenge,2025,0.9013333333333333,0.20802962962962965,0.1643851851851852,1.265501081463102,299
falcon3_7b_instruct,commonsenseqa,42,0.8297073297073297,0.27419062419062423,0.0845571095571096,3.2426678918369847,1000
falcon3_7b_instruct,commonsenseqa,7,0.8029655529655529,0.243052318052318,0.12719071052404382,1.9109282199069173,1000
falcon3_7b_instruct,commonsenseqa,123,0.7850945350945351,0.23749244582577916,0.11934516101182767,1.9899629261068454,1000
falcon3_7b_instruct,commonsenseqa,777,0.8295130795130795,0.2642752309418976,0.15574117240783905,1.6968873860031293,1000
falcon3_7b_instruct,commonsenseqa,2025,0.8138435638435638,0.26439178105844763,0.09103211603211599,2.9043791639674312,1000
falcon3_7b_instruct,hellaswag,42,0.8023269980506823,0.1614156920077973,0.2548611111111112,0.6333476743605341,1000
falcon3_7b_instruct,hellaswag,7,0.8557504873294347,0.2423590805717999,0.22084957764782326,1.097394358422452,1000
falcon3_7b_instruct,hellaswag,123,0.8068957115009746,0.2556022579597141,0.19682626705653022,1.2986186334825132,1000
falcon3_7b_instruct,hellaswag,777,0.7825292397660818,0.1431002274204028,0.18129670240415846,0.7893151145165624,1000
falcon3_7b_instruct,hellaswag,2025,0.8298001949317738,0.193902290448343,0.20413417803768677,0.9498766561844207,1000
falcon3_7b_instruct,mmlu_all,42,0.8288787483702739,0.17544545849630605,0.15615570869808165,1.1235289440131613,1000
falcon3_7b_instruct,mmlu_all,7,0.8213354442168002,0.1313978394486869,0.16191562674613527,0.8115204325144713,1000
falcon3_7b_instruct,mmlu_all,123,0.7505587632706276,0.16720835661513625,0.0441283292978208,3.7891386162132457,1000
falcon3_7b_instruct,mmlu_all,777,0.8042466008567704,0.1740454460793444,0.14735829142608806,1.1811038550583426,1000
falcon3_7b_instruct,mmlu_all,2025,0.7944216800149003,0.15037406096728126,0.1843918793071335,0.8155134680090452,1000
mistral7b_v03,arc_challenge,42,0.515,0.05461904761904765,-0.0650238095238095,-0.8399853533633401,299
mistral7b_v03,arc_challenge,7,0.7064285714285715,0.1001190476190477,0.06192857142857151,1.616685890016185,299
mistral7b_v03,arc_challenge,123,0.5778571428571428,0.06595238095238096,0.008261904761904752,7.9827089327513825,299
mistral7b_v03,arc_challenge,777,0.6735714285714286,0.07961904761904766,0.08123809523809528,0.9800703399644891,299
mistral7b_v03,arc_challenge,2025,0.6421428571428571,0.03821428571428568,0.07804761904761902,0.4896278218363132,299
mistral7b_v03,commonsenseqa,42,0.6960227272727272,0.09837407089765571,0.13770547455688958,0.7143802467802435,1000
mistral7b_v03,commonsenseqa,7,0.7529481132075471,0.12693503430531722,0.22453544882790158,0.5653229143432184,1000
mistral7b_v03,commonsenseqa,123,0.7405124356775301,0.08399442538593492,0.20851915380217273,0.40281395667478914,1000
mistral7b_v03,commonsenseqa,777,0.7346162092624358,0.08431782447112643,0.21084548313321902,0.3999033947407438,1000
