model,dataset,split,combined_auroc,auroc_after_permute_cheap,auroc_after_permute_hidden,drop_when_permute_cheap,drop_when_permute_hidden
gemma2_9b_it,arc_challenge,0,0.76592082616179,0.6901893287435457,0.7555938037865749,0.07573149741824436,0.0103270223752151
gemma2_9b_it,arc_challenge,1,0.9242685025817555,0.7555938037865748,0.8399311531841652,0.1686746987951807,0.0843373493975903
gemma2_9b_it,arc_challenge,2,0.8106712564543891,0.459552495697074,0.7590361445783133,0.3511187607573151,0.051635111876075834
gemma2_9b_it,arc_challenge,3,0.7986230636833046,0.5438898450946643,0.89328743545611,0.2547332185886403,-0.0946643717728054
gemma2_9b_it,arc_challenge,4,0.6901893287435455,0.3975903614457831,0.8588640275387264,0.29259896729776247,-0.16867469879518082
gemma2_9b_it,commonsenseqa,0,0.7724867724867726,0.6193824928002143,0.6402786149621593,0.15310427968655826,0.13220815752461323
gemma2_9b_it,commonsenseqa,1,0.789163485366017,0.6534056660638939,0.701627486437613,0.13575781930212305,0.08753599892840402
gemma2_9b_it,commonsenseqa,2,0.8085861630165427,0.6761101064898534,0.6870939655749783,0.13247605652668937,0.12149219744156448
gemma2_9b_it,commonsenseqa,3,0.8069787690040854,0.6347197106690778,0.7381287254704977,0.17225905833500754,0.0688500435335877
gemma2_9b_it,commonsenseqa,4,0.7144196637867524,0.6594333936106089,0.5842877235282299,0.05498627017614344,0.13013194025852248
gemma2_9b_it,hellaswag,0,0.7286324786324786,0.6713286713286714,0.45810670810670817,0.05730380730380724,0.2705257705257704
gemma2_9b_it,hellaswag,1,0.7345247345247345,0.6834369334369333,0.578023828023828,0.0510878010878012,0.15650090650090653
gemma2_9b_it,hellaswag,2,0.7875550375550376,0.6996244496244496,0.576987826987827,0.08793058793058806,0.21056721056721062
gemma2_9b_it,hellaswag,3,0.7834757834757835,0.7226107226107227,0.49954674954674955,0.06086506086506083,0.28392903392903396
gemma2_9b_it,hellaswag,4,0.7522015022015022,0.6962574462574463,0.5535483035483035,0.055944055944055826,0.19865319865319864
gemma2_9b_it,mmlu,0,0.8617699709107184,0.7117923472812709,0.6214477511747595,0.14997762362944744,0.2403222197359589
gemma2_9b_it,mmlu,1,0.8856008055493398,0.8338554486462296,0.5676325799955247,0.05174535690311022,0.3179682255538151
gemma2_9b_it,mmlu,2,0.8448198702170509,0.6400760796598791,0.7829492056388454,0.20474379055717173,0.06187066457820545
gemma2_9b_it,mmlu,3,0.8419109420452003,0.7798165137614678,0.49697918997538604,0.06209442828373257,0.3449317520698143
gemma2_9b_it,mmlu,4,0.8473931528306109,0.7065339002013874,0.6324681136719624,0.1408592526292235,0.21492503915864847
llama31_8b_instruct,arc_challenge,0,0.8541666666666666,0.7631172839506173,0.6450617283950618,0.09104938271604934,0.2091049382716048
llama31_8b_instruct,arc_challenge,1,0.8279320987654321,0.6365740740740741,0.720679012345679,0.191358024691358,0.10725308641975306
llama31_8b_instruct,arc_challenge,2,0.7885802469135802,0.6095679012345679,0.7307098765432098,0.17901234567901225,0.05787037037037035
llama31_8b_instruct,arc_challenge,3,0.8125,0.7075617283950617,0.7422839506172839,0.1049382716049383,0.07021604938271608
llama31_8b_instruct,arc_challenge,4,0.8950617283950617,0.7507716049382717,0.7947530864197531,0.14429012345679004,0.10030864197530864
llama31_8b_instruct,commonsenseqa,0,0.7313467313467313,0.5256410256410257,0.6145183645183645,0.20570570570570568,0.11682836682836684
llama31_8b_instruct,commonsenseqa,1,0.7867290367290367,0.5013860013860014,0.709112959112959,0.2853430353430353,0.0776160776160777
llama31_8b_instruct,commonsenseqa,2,0.8078078078078078,0.5725918225918225,0.6783899283899284,0.2352159852159853,0.1294178794178794
llama31_8b_instruct,commonsenseqa,3,0.7994917994917994,0.5837375837375838,0.5892815892815894,0.2157542157542156,0.21021021021021002
llama31_8b_instruct,commonsenseqa,4,0.7566990066990066,0.5664703164703164,0.6868214368214369,0.19022869022869016,0.06987756987756966
llama31_8b_instruct,hellaswag,0,0.7448474439280663,0.5890583956354819,0.6781167912709639,0.15578904829258444,0.06673065265710243
llama31_8b_instruct,hellaswag,1,0.7401495251565973,0.5921398262275207,0.6784703980602143,0.14800969892907656,0.06167912709638301
llama31_8b_instruct,hellaswag,2,0.7527783390583956,0.5944635279854517,0.6197716710446554,0.15831481107294398,0.13300666801374028
llama31_8b_instruct,hellaswag,3,0.7433319862598505,0.5949181652859163,0.5948676500303092,0.14841382097393419,0.14846433622954136
llama31_8b_instruct,hellaswag,4,0.6994847443928067,0.6629622145888059,0.5254091735704183,0.036522529804000836,0.17407557082238845
llama31_8b_instruct,mmlu,0,0.8236506746626686,0.5901424287856072,0.755247376311844,0.23350824587706143,0.06840329835082459
llama31_8b_instruct,mmlu,1,0.7979291604197901,0.5560813343328336,0.7653673163418291,0.24184782608695654,0.03256184407796103
llama31_8b_instruct,mmlu,2,0.8315685907046476,0.45394490254872566,0.7775487256371815,0.37762368815592195,0.054019865067466144
llama31_8b_instruct,mmlu,3,0.8188718140929535,0.5222076461769116,0.7915104947526237,0.2966641679160419,0.027361319340329815
llama31_8b_instruct,mmlu,4,0.7855134932533733,0.6017147676161919,0.708161544227886,0.18379872563718136,0.07735194902548725
