model,dataset,split,pca_dim,cheap_auroc,cheap_plus_pca_auroc,gain,pca_variance
gemma2_9b_it,arc_challenge,0,8,0.8623063683304647,0.7917383820998279,-0.07056798623063676,0.41510331630706787
gemma2_9b_it,arc_challenge,0,16,0.8623063683304647,0.7555938037865749,-0.10671256454388978,0.540757417678833
gemma2_9b_it,arc_challenge,0,32,0.8623063683304647,0.7194492254733218,-0.1428571428571429,0.668103814125061
gemma2_9b_it,arc_challenge,0,64,0.8623063683304647,0.76592082616179,-0.09638554216867468,0.7980133295059204
gemma2_9b_it,arc_challenge,0,128,0.8623063683304647,0.8382099827882961,-0.02409638554216864,0.9275520443916321
gemma2_9b_it,arc_challenge,0,256,0.8623063683304647,0.7969018932874354,-0.06540447504302926,0.9995316863059998
gemma2_9b_it,arc_challenge,1,8,0.8967297762478486,0.9036144578313252,0.0068846815834766595,0.41857820749282837
gemma2_9b_it,arc_challenge,1,16,0.8967297762478486,0.8881239242685026,-0.008605851979345935,0.5451488494873047
gemma2_9b_it,arc_challenge,1,32,0.8967297762478486,0.919104991394148,0.022375215146299476,0.6707813739776611
gemma2_9b_it,arc_challenge,1,64,0.8967297762478486,0.9242685025817555,0.02753872633390697,0.8012919425964355
gemma2_9b_it,arc_challenge,1,128,0.8967297762478486,0.9328743545611016,0.03614457831325302,0.9283216595649719
gemma2_9b_it,arc_challenge,1,256,0.8967297762478486,0.8967297762478486,0.0,0.9995085000991821
gemma2_9b_it,arc_challenge,2,8,0.8175559380378657,0.82960413080895,0.012048192771084265,0.41547441482543945
gemma2_9b_it,arc_challenge,2,16,0.8175559380378657,0.757314974182444,-0.06024096385542177,0.5425868034362793
gemma2_9b_it,arc_challenge,2,32,0.8175559380378657,0.7590361445783133,-0.058519793459552494,0.6692240834236145
gemma2_9b_it,arc_challenge,2,64,0.8175559380378657,0.8106712564543891,-0.0068846815834766595,0.7999790906906128
gemma2_9b_it,arc_challenge,2,128,0.8175559380378657,0.8209982788296042,0.0034423407917384408,0.9275213479995728
gemma2_9b_it,arc_challenge,2,256,0.8175559380378657,0.7900172117039587,-0.027538726333907082,0.9995171427726746
