model_key,dataset,sample_size,seed,feature_set,auroc,pca_explained_variance
deepseek_r1_qwen7b,arc_challenge,100,42,cheap_confidence_option,0.575,
deepseek_r1_qwen7b,arc_challenge,100,42,cheap_plus_pca_hidden,0.515,0.9851071238517761
deepseek_r1_qwen7b,arc_challenge,100,7,cheap_confidence_option,0.565,
deepseek_r1_qwen7b,arc_challenge,100,7,cheap_plus_pca_hidden,0.415,0.9851143956184387
deepseek_r1_qwen7b,arc_challenge,100,123,cheap_confidence_option,0.435,
deepseek_r1_qwen7b,arc_challenge,100,123,cheap_plus_pca_hidden,0.395,0.9838452339172363
deepseek_r1_qwen7b,arc_challenge,100,777,cheap_confidence_option,0.74,
deepseek_r1_qwen7b,arc_challenge,100,777,cheap_plus_pca_hidden,0.76,0.9857876896858215
deepseek_r1_qwen7b,arc_challenge,100,2025,cheap_confidence_option,0.51,
deepseek_r1_qwen7b,arc_challenge,100,2025,cheap_plus_pca_hidden,0.42500000000000004,0.9845995306968689
deepseek_r1_qwen7b,commonsenseqa,100,42,cheap_confidence_option,0.422360248447205,
deepseek_r1_qwen7b,commonsenseqa,100,42,cheap_plus_pca_hidden,0.5900621118012421,0.9823340177536011
deepseek_r1_qwen7b,commonsenseqa,100,7,cheap_confidence_option,0.732919254658385,
deepseek_r1_qwen7b,commonsenseqa,100,7,cheap_plus_pca_hidden,0.3602484472049689,0.9840419888496399
deepseek_r1_qwen7b,commonsenseqa,100,123,cheap_confidence_option,0.7639751552795031,
deepseek_r1_qwen7b,commonsenseqa,100,123,cheap_plus_pca_hidden,0.5838509316770186,0.983035683631897
deepseek_r1_qwen7b,commonsenseqa,100,777,cheap_confidence_option,0.6273291925465838,
deepseek_r1_qwen7b,commonsenseqa,100,777,cheap_plus_pca_hidden,0.5217391304347826,0.9828587770462036
deepseek_r1_qwen7b,commonsenseqa,100,2025,cheap_confidence_option,0.47204968944099374,
deepseek_r1_qwen7b,commonsenseqa,100,2025,cheap_plus_pca_hidden,0.5465838509316769,0.982923150062561
deepseek_r1_qwen7b,commonsenseqa,300,42,cheap_confidence_option,0.5035714285714286,
deepseek_r1_qwen7b,commonsenseqa,300,42,cheap_plus_pca_hidden,0.5128571428571429,0.7766295671463013
deepseek_r1_qwen7b,commonsenseqa,300,7,cheap_confidence_option,0.62,
deepseek_r1_qwen7b,commonsenseqa,300,7,cheap_plus_pca_hidden,0.5485714285714286,0.7745842933654785
deepseek_r1_qwen7b,commonsenseqa,300,123,cheap_confidence_option,0.5778571428571428,
deepseek_r1_qwen7b,commonsenseqa,300,123,cheap_plus_pca_hidden,0.5985714285714286,0.7873114347457886
deepseek_r1_qwen7b,commonsenseqa,300,777,cheap_confidence_option,0.5271428571428571,
deepseek_r1_qwen7b,commonsenseqa,300,777,cheap_plus_pca_hidden,0.3728571428571429,0.7822648286819458
