model_key,model_family,dataset,seed,feature_set,probe,n_total,n_test,auroc,bootstrap_mean,ci_low,ci_high,base_accuracy,pca_dim,pca_explained_variance
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,direct_pmax,none,299,90,0.5630299604296213,0.5673548222607363,0.43930820105820106,0.6730077911427008,,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_confidence_option,logreg,299,90,0.6579988694177501,0.6592256215788171,0.5409786155202821,0.7704819119160455,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_confidence_option,mlp,299,90,0.49971735443753534,0.5078620550855911,0.3685310132575758,0.6472195804195803,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_confidence_option,extratrees,299,90,0.5822498586772187,0.5882074131098153,0.46202130034627303,0.7115066102198454,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_confidence_option,hgb,299,90,0.579423403052572,0.584596577995074,0.4564317439096851,0.7139973573901949,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,hidden_summary_only,logreg,299,90,0.4013566986998304,0.4022044330352777,0.2960829493087558,0.5185676593354902,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,hidden_summary_only,mlp,299,90,0.44149236856981344,0.4430561901242264,0.30432457416831393,0.5810483870967741,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,hidden_summary_only,extratrees,299,90,0.4245336348219333,0.42064595117833053,0.29855143670371376,0.5427403593648996,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,hidden_summary_only,hgb,299,90,0.5511588468061052,0.5495745727250178,0.40903786057692304,0.6759983747880158,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_hidden_summary,logreg,299,90,0.6167326172979084,0.6188610688743236,0.49079739858906524,0.7313345728518936,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_hidden_summary,mlp,299,90,0.4771057094403617,0.47423260365444736,0.3440668253336074,0.5899327813390313,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_hidden_summary,extratrees,299,90,0.5285472018089317,0.5320251969309889,0.3899601449275362,0.6707502672531275,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_hidden_summary,hgb,299,90,0.5839457320520068,0.5833812679701892,0.4492940543674288,0.7224116161616161,0.32441471571906355,,
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,pca_hidden_embeddings,logreg,299,90,0.39909553420011307,0.40044674790475,0.26560882118677814,0.5493066460091144,0.32441471571906355,64.0,0.8114538788795471
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,pca_hidden_embeddings,mlp,299,90,0.5573770491803278,0.5532486344111983,0.41723858675791264,0.6826060919236345,0.32441471571906355,64.0,0.8114538788795471
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,pca_hidden_embeddings,extratrees,299,90,0.43866591294516677,0.441568979971972,0.3118377444329695,0.5711724099470786,0.32441471571906355,64.0,0.8114538788795471
