model_key,dataset,feature_set,probe,count,mean_auroc,std_auroc,mean_ci_low,mean_ci_high
deepseek_r1_qwen7b,arc_challenge,cheap_confidence_option,extratrees,5,0.6470322215941209,0.06397737093314915,0.5265911357725916,0.7556080908734233
deepseek_r1_qwen7b,arc_challenge,cheap_confidence_option,hgb,5,0.5751271905031091,0.06288288920063098,0.44830620489335454,0.694466890813208
deepseek_r1_qwen7b,arc_challenge,cheap_confidence_option,logreg,5,0.6425098925946863,0.054283550140819314,0.5197090555861011,0.7591505620997222
deepseek_r1_qwen7b,arc_challenge,cheap_confidence_option,mlp,5,0.5677784058790277,0.06454302858745041,0.43805777077289143,0.6933777479322255
deepseek_r1_qwen7b,arc_challenge,cheap_plus_hidden_summary,extratrees,5,0.6245336348219334,0.07113734560989535,0.49812997688689115,0.7433993409720804
deepseek_r1_qwen7b,arc_challenge,cheap_plus_hidden_summary,hgb,5,0.6037309214245337,0.0768307379767617,0.47356906216265066,0.7239033227393032
deepseek_r1_qwen7b,arc_challenge,cheap_plus_hidden_summary,logreg,5,0.6382136800452234,0.030334071669210573,0.5214426080858989,0.7512931283583558
deepseek_r1_qwen7b,arc_challenge,cheap_plus_hidden_summary,mlp,5,0.5404183154324477,0.07839937811403747,0.41331225334118243,0.6652009872928252
deepseek_r1_qwen7b,arc_challenge,cheap_plus_pca_hidden,extratrees,5,0.6195590729225551,0.05815222091042119,0.4985838519523072,0.7300636328369704
deepseek_r1_qwen7b,arc_challenge,cheap_plus_pca_hidden,hgb,5,0.5481062747314868,0.03481844593550961,0.4299407673842689,0.6717726862213764
deepseek_r1_qwen7b,arc_challenge,cheap_plus_pca_hidden,logreg,5,0.5660825325042398,0.0341301977735159,0.4407248036740426,0.6888488247801444
deepseek_r1_qwen7b,arc_challenge,cheap_plus_pca_hidden,mlp,5,0.5182589033352176,0.044037230830119574,0.3821986690799413,0.648454713912435
deepseek_r1_qwen7b,arc_challenge,direct_pmax,none,5,0.5992085924250989,0.05820714627889701,0.47172159109722,0.7199372340967592
deepseek_r1_qwen7b,arc_challenge,hidden_summary_only,extratrees,5,0.47190503109101184,0.03684900398154255,0.34143967226312133,0.5980400298484936
deepseek_r1_qwen7b,arc_challenge,hidden_summary_only,hgb,5,0.48343697003957037,0.04103016789410165,0.3556131378847439,0.6095984915292221
deepseek_r1_qwen7b,arc_challenge,hidden_summary_only,logreg,5,0.4800452232899944,0.0629613530234769,0.36458910156434904,0.6057702284391355
deepseek_r1_qwen7b,arc_challenge,hidden_summary_only,mlp,5,0.48535895986433014,0.05405200109617429,0.3555411928216965,0.6104826249811282
deepseek_r1_qwen7b,arc_challenge,pca_hidden_embeddings,extratrees,5,0.4617297908422838,0.04463545308909273,0.33425030298827396,0.5967619522588092
deepseek_r1_qwen7b,arc_challenge,pca_hidden_embeddings,hgb,5,0.4850197851893725,0.06821426819467856,0.35622258106616533,0.6090122492351404
deepseek_r1_qwen7b,arc_challenge,pca_hidden_embeddings,logreg,5,0.4569813453928774,0.049656570176819646,0.32475863647162584,0.5894475342350243
deepseek_r1_qwen7b,arc_challenge,pca_hidden_embeddings,mlp,5,0.5106840022611645,0.049871686190385726,0.3825387683324405,0.6395529052139166
