model,dataset,feature_csv_mb,hidden_npz_mb,n_examples,hidden_dim,hidden_key,raw_hidden_float32_mb,raw_hidden_float16_mb,locked_probe_fits_per_condition,cheap_only_fits_per_condition,extra_hidden_probe_fits_per_condition
llama31_8b_it,trec6,0.13164901733398438,3.5395898818969727,480,4096,hidden,7.5,3.75,105,15,90
mistral7b_v03,agnews,0.2664299011230469,7.380838394165039,1000,4096,hidden,15.625,7.8125,105,15,90
qwen25_7b,banking77,0.060318946838378906,1.7230033874511719,200,3584,hidden,2.734375,1.3671875,105,15,90
mistral7b_v03,dbpedia14,0.7767372131347656,10.328461647033691,1400,4096,hidden,21.875,10.9375,105,15,90
qwen25_7b,dbpedia14,0.7097568511962891,9.06179141998291,1400,3584,hidden,19.140625,9.5703125,105,15,90
qwen25_7b,agnews,0.2192363739013672,6.4821062088012695,1000,3584,hidden,13.671875,6.8359375,105,15,90
llama31_8b_it,dbpedia14,0.7059221267700195,10.310423851013184,1400,4096,hidden,21.875,10.9375,105,15,90
qwen25_7b,trec6,0.13339996337890625,3.110001564025879,480,3584,hidden,6.5625,3.28125,105,15,90
llama31_8b_it,agnews,0.21935462951660156,7.367380142211914,1000,4096,hidden,15.625,7.8125,105,15,90
mistral7b_v03,trec6,0.15256595611572266,3.5434093475341797,480,4096,hidden,7.5,3.75,105,15,90
