model,dataset,seed,split_mode,family,candidate,C,pca_dim,n,accuracy,n_correct,n_failures,n_train,n_val,n_test,test_failures,analysis_group,cheap_cols,hidden_key,val_auroc_correct,val_auprc_failure,val_aurc,val_eaurc,val_risk_at_80,val_risk_at_60,val_risk_at_40,val_failure_precision_at_20_abstain,val_failure_recall_at_20_abstain,test_auroc_correct,test_auprc_failure,test_aurc,test_eaurc,test_risk_at_80,test_risk_at_60,test_risk_at_40,test_failure_precision_at_20_abstain,test_failure_recall_at_20_abstain
deepseek_r1_qwen7b,arc_challenge,0,stratified,confidence_option,cheap,0.1,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.6725,0.8289091251293956,0.5283685372470618,0.22796767807196927,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.9166666666666666,0.275,0.6456996148908858,0.8249683906463561,0.5880516533582284,0.2689208371418905,0.625,0.5833333333333334,0.625,0.9166666666666666,0.2682926829268293
deepseek_r1_qwen7b,arc_challenge,0,stratified,confidence_option,cheap,1.0,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.6775,0.836130311614268,0.5303005064682964,0.2298996472932039,0.6041666666666666,0.5555555555555556,0.5833333333333334,0.9166666666666666,0.275,0.6431322207958922,0.824361777832569,0.5960485782713348,0.27691776205499696,0.6458333333333334,0.6111111111111112,0.625,0.8333333333333334,0.24390243902439024
deepseek_r1_qwen7b,arc_challenge,0,stratified,confidence_option,cheap,10.0,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.69125,0.8562586839080173,0.5269016208118594,0.2265007616367669,0.5833333333333334,0.5277777777777778,0.5833333333333334,1.0,0.3,0.6379974326059049,0.825333033886967,0.6078848757718301,0.28875405955549227,0.6458333333333334,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.24390243902439024
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_16,0.1,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.46375,0.6895129760606105,0.7326394453314983,0.43223858615640576,0.6666666666666666,0.6944444444444444,0.6666666666666666,0.6666666666666666,0.2,0.3889602053915276,0.6051951066151475,0.7511402149526261,0.4320093987362882,0.7291666666666666,0.75,0.75,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_16,1.0,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.46625000000000005,0.6926619346778735,0.7321804838086922,0.43177962463359965,0.6875,0.6388888888888888,0.7083333333333334,0.5833333333333334,0.175,0.3992297817715019,0.6094673713548947,0.7464337654842259,0.42730294926788803,0.7291666666666666,0.75,0.75,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_16,10.0,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.46875,0.6927463243140779,0.7297738008177702,0.4293729416426777,0.6875,0.6388888888888888,0.6666666666666666,0.5833333333333334,0.175,0.4030808729139923,0.6114450147474692,0.7426583852435382,0.42352756902720035,0.7291666666666666,0.75,0.75,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,0.1,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.665,0.8193197733067108,0.5469300696906243,0.24652921051553178,0.625,0.5833333333333334,0.5416666666666666,0.8333333333333334,0.25,0.5083440308087291,0.6726677028814249,0.6866106904738629,0.36747987425752504,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.17073170731707318
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,1.0,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.66625,0.8080214509303857,0.5435759523585514,0.24317509318345887,0.6041666666666666,0.5833333333333334,0.5416666666666666,0.9166666666666666,0.275,0.4813863928112965,0.6587092692862638,0.703025840393205,0.38389502417686716,0.6875,0.6944444444444444,0.6666666666666666,0.6666666666666666,0.1951219512195122
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,10.0,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.6387499999999999,0.7923061157638073,0.5557088637754388,0.2553080046003463,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.9166666666666666,0.275,0.46084724005134786,0.6511139649461283,0.7116077045731368,0.39247688835679895,0.6875,0.7222222222222222,0.7083333333333334,0.6666666666666666,0.1951219512195122
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_32,0.1,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.555,0.7420187001227567,0.6680021106130513,0.36760125143795874,0.625,0.6388888888888888,0.625,0.8333333333333334,0.25,0.3324775353016688,0.5821186942272685,0.7844469343343355,0.46531611811799767,0.7291666666666666,0.7777777777777778,0.7916666666666666,0.5,0.14634146341463414
