model,dataset,seed,split_mode,family,candidate,C,pca_dim,n,accuracy,n_correct,n_failures,n_train,n_val,n_test,test_failures,analysis_group,cheap_cols,hidden_key,val_auroc_correct,val_auprc_failure,val_aurc,val_eaurc,val_risk_at_80,val_risk_at_60,val_risk_at_40,val_failure_precision_at_20_abstain,val_failure_recall_at_20_abstain,test_auroc_correct,test_auprc_failure,test_aurc,test_eaurc,test_risk_at_80,test_risk_at_60,test_risk_at_40,test_failure_precision_at_20_abstain,test_failure_recall_at_20_abstain,selected_by,test_auroc_correct_ci_low,test_auroc_correct_ci_high,test_auprc_failure_ci_low,test_auprc_failure_ci_high,test_risk_at_80_ci_low,test_risk_at_80_ci_high,test_risk_at_60_ci_low,test_risk_at_60_ci_high,test_risk_at_40_ci_low,test_risk_at_40_ci_high,test_aurc_ci_low,test_aurc_ci_high,test_eaurc_ci_low,test_eaurc_ci_high,test_failure_precision_at_20_abstain_ci_low,test_failure_precision_at_20_abstain_ci_high,test_failure_recall_at_20_abstain_ci_low,test_failure_recall_at_20_abstain_ci_high
deepseek_r1_qwen7b,arc_challenge,0,stratified,confidence_option,cheap,10.0,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.69125,0.8562586839080173,0.5269016208118594,0.2265007616367669,0.5833333333333334,0.5277777777777778,0.5833333333333334,1.0,0.3,0.6379974326059049,0.825333033886967,0.6078848757718301,0.28875405955549227,0.6458333333333334,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.24390243902439024,validation_auroc_locked,0.4824796529712369,0.7756805555555555,0.7101525605688688,0.9228770657588986,0.5098958333333333,0.7708333333333334,0.4444444444444444,0.75,0.4583333333333333,0.8333333333333334,0.46191453681161965,0.793267422929966,0.17465635483492395,0.41204363815129874,0.6666666666666666,1.0,0.18673691860465116,0.3102163461538461
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_64,10.0,64,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.5675,0.7576454840122376,0.6233667482460695,0.322965889070977,0.625,0.6111111111111112,0.7083333333333334,0.8333333333333334,0.25,0.37869062901155326,0.6180129570445021,0.7336436996023292,0.41451288338599135,0.7291666666666666,0.7222222222222222,0.7916666666666666,0.5,0.14634146341463414,validation_auroc_locked,0.2361000409165303,0.5373152560234062,0.5023512174247915,0.7960148427136075,0.5833333333333334,0.8442708333333329,0.5833333333333334,0.8888888888888888,0.625,0.9583333333333334,0.5811850546099026,0.8901325443706564,0.30794019035178277,0.5357928982566741,0.25,0.8333333333333334,0.07996088193456614,0.23749999999999996
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_32,0.1,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.7,0.8196029261017609,0.530756503301155,0.23035564412606246,0.6041666666666666,0.5555555555555556,0.5833333333333334,0.9166666666666666,0.275,0.39281129653401803,0.6075744819187548,0.7403248647050067,0.4211940484886688,0.75,0.75,0.75,0.4166666666666667,0.12195121951219512,validation_auroc_locked,0.21066198671497582,0.5705745257452571,0.4842951212583433,0.7793943766735076,0.6140625,0.875,0.6111111111111112,0.8888888888888888,0.5416666666666666,0.9385416666666657,0.5818018201063072,0.8832235534563303,0.3004164290869049,0.5204872661573907,0.16666666666666666,0.75,0.05555555555555555,0.21662946428571417
deepseek_r1_qwen7b,arc_challenge,1,stratified,confidence_option,cheap,0.1,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.66,0.7774774405064058,0.5167733638401605,0.21637250466506797,0.6458333333333334,0.5833333333333334,0.5833333333333334,0.75,0.225,0.6906290115532734,0.8110240022895462,0.5211595712220827,0.2020287550057448,0.6458333333333334,0.6111111111111112,0.5,0.8333333333333334,0.24390243902439024,validation_auroc_locked,0.5400110491423762,0.8585368504500818,0.6900989156729701,0.9481680916482244,0.5,0.7708333333333334,0.4444444444444444,0.75,0.3333333333333333,0.7083333333333334,0.3621583846396157,0.6949420862899505,0.09509938349778367,0.3209865017908149,0.5833333333333334,1.0,0.18083333333333335,0.3142857142857143
deepseek_r1_qwen7b,arc_challenge,1,stratified,hidden_pca,hidden_pca_64,10.0,64,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.61875,0.7615962533896383,0.5485488360217806,0.2481479768466881,0.6666666666666666,0.5833333333333334,0.625,0.6666666666666666,0.2,0.5507060333761231,0.73003378608794,0.6824126525245605,0.36328183630822264,0.6458333333333334,0.6388888888888888,0.6666666666666666,0.8333333333333334,0.24390243902439024,validation_auroc_locked,0.3827550444596443,0.6902031997607654,0.6074968268680658,0.8868558784916502,0.5208333333333334,0.7708333333333334,0.5277777777777778,0.8055555555555556,0.4583333333333333,0.8333333333333334,0.5184212147055003,0.8220949988555075,0.24303166760107883,0.45707215983943533,0.5395833333333334,1.0,0.16084830866807612,0.3
deepseek_r1_qwen7b,arc_challenge,1,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,0.1,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.7112499999999999,0.8238492305099467,0.47483331324127837,0.17443245406618585,0.6041666666666666,0.5555555555555556,0.5416666666666666,0.9166666666666666,0.275,0.6726572528883183,0.7867338220019885,0.5709605414072415,0.25182972519090363,0.6458333333333334,0.5833333333333334,0.5416666666666666,0.8333333333333334,0.24390243902439024,validation_auroc_locked,0.5300444023569023,0.8315538194444443,0.6762924614515764,0.9331270098937791,0.5208333333333334,0.7708333333333334,0.4166666666666667,0.7368055555555549,0.375,0.75,0.3667049901512787,0.7418248145449994,0.11592133439313623,0.34805736952976857,0.5833333333333334,1.0,0.170625,0.3066773504273504
deepseek_r1_qwen7b,arc_challenge,2,stratified,confidence_option,cheap,10.0,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.68,0.8231817738197558,0.5457924350891096,0.24539157591401706,0.625,0.5555555555555556,0.5,0.8333333333333334,0.25,0.5596919127086007,0.6839870127051219,0.5764948147700012,0.2573639985536633,0.6875,0.6944444444444444,0.625,0.6666666666666666,0.1951219512195122,validation_auroc_locked,0.40360515726369384,0.7353515334399643,0.5626519982250014,0.8739281133186971,0.5723958333333333,0.8333333333333334,0.5277777777777778,0.8333333333333334,0.4166666666666667,0.7916666666666666,0.40633952445921356,0.7539968242640183,0.13781148868196236,0.3732441396549416,0.4166666666666667,0.9166666666666666,0.12195121951219512,0.25
deepseek_r1_qwen7b,arc_challenge,2,stratified,hidden_pca,hidden_pca_64,10.0,64,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.5475000000000001,0.719153812564389,0.6324806726805884,0.33207981350549587,0.6875,0.6388888888888888,0.625,0.5833333333333334,0.175,0.306803594351733,0.5801636229262271,0.7716593414374235,0.45252852522108566,0.7291666666666666,0.8055555555555556,0.8333333333333334,0.5,0.14634146341463414,validation_auroc_locked,0.160226430976431,0.47695432692307677,0.4655054545613359,0.7685256169355069,0.5833333333333334,0.8541666666666666,0.6388888888888888,0.9166666666666666,0.6666666666666666,0.9583333333333334,0.612652000723337,0.922696569414271,0.318315787501667,0.568578692423804,0.25,0.8333333333333334,0.0705564784053156,0.2282670454545454
deepseek_r1_qwen7b,arc_challenge,2,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,10.0,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.6562499999999999,0.8130111982498596,0.5469310191091271,0.2465301599340346,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.9166666666666666,0.275,0.48652118100128366,0.6638083235930593,0.6275783437796113,0.3084475275632734,0.6875,0.7222222222222222,0.7083333333333334,0.6666666666666666,0.1951219512195122,validation_auroc_locked,0.33894859749269385,0.6772160379303236,0.5455176292348649,0.8484123385342832,0.5625,0.8333333333333334,0.5555555555555556,0.8611111111111112,0.5,0.875,0.4613650366560857,0.7864846983881979,0.16642682850604437,0.4264911151519461,0.3333333333333333,0.9166666666666666,0.1111111111111111,0.26752032520325203
deepseek_r1_qwen7b,arc_challenge,3,stratified,confidence_option,cheap,10.0,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.69375,0.8265925989785903,0.5327642771659102,0.23236341799081772,0.6041666666666666,0.5555555555555556,0.5,0.9166666666666666,0.275,0.6700898587933247,0.8242607770621605,0.5287206819169772,0.2095898657006393,0.625,0.6388888888888888,0.5833333333333334,0.9166666666666666,0.2682926829268293,validation_auroc_locked,0.5116260162601626,0.8112744303594351,0.6929104259869566,0.9230253150286204,0.4791666666666667,0.75,0.4722222222222222,0.7777777777777778,0.375,0.7916666666666666,0.3752287611645749,0.6938479134785798,0.11172290968626335,0.3292396561966392,0.5395833333333334,1.0,0.16666666666666666,0.32432432432432434
