comparison,metric,n_pairs,mean_delta,median_delta,ci_low,ci_high,wilcoxon_p,positive_cases,negative_cases
cheap_plus_hidden_pca - confidence_option,test_auroc_correct,190,-0.010419708856264929,-0.0014357988402688981,-0.019736761988209003,-0.002386257639314518,0.14308515774205618,89,101
cheap_plus_hidden_pca - confidence_option,test_auprc_failure,190,-0.002280958056221742,-0.0025114012815925513,-0.01122474927362487,0.006553057081462129,0.8263670892190786,90,100
cheap_plus_hidden_pca - confidence_option,test_risk_at_80,190,0.0008566871724766489,0.0,-0.0021851539359763004,0.003840168603326502,0.5305044154816011,76,75
cheap_plus_hidden_pca - confidence_option,test_risk_at_60,190,0.0028338086595799837,0.0,-0.0016240889580272525,0.007573637758188574,0.275828897539099,75,68
cheap_plus_hidden_pca - confidence_option,test_risk_at_40,190,0.0021867167919799478,0.0,-0.003169010266049741,0.007694795883940622,0.3213766362561751,72,58
cheap_plus_hidden_pca - confidence_option,test_aurc,190,0.0034715206748798144,-0.0005446186629819577,4.698293157294824e-05,0.006971870739026682,0.3182774143865914,92,98
cheap_plus_hidden_pca - confidence_option,test_eaurc,190,0.0034715206748798144,-0.0005446186629819577,4.698293157294802e-05,0.006971870739026682,0.3182774143865914,92,98
cheap_plus_hidden_pca - confidence_option,test_failure_precision_at_20_abstain,190,-0.0023433583959899754,0.0,-0.014160557644110273,0.009826127819548882,0.7678902133654566,76,75
cheap_plus_hidden_pca - confidence_option,test_failure_recall_at_20_abstain,190,-0.0032097477105581347,0.0,-0.016615052207242798,0.008314538179553112,0.9740651742828516,76,75
hidden_pca - confidence_option,test_auroc_correct,190,-0.06775952359558475,-0.031832699464278524,-0.08385166311504112,-0.05313664507728889,3.7129997692600163e-16,47,142
hidden_pca - confidence_option,test_auprc_failure,190,-0.07242132145213834,-0.04293618928468004,-0.08915802116483357,-0.055915473149891017,2.0874964347077592e-13,52,138
hidden_pca - confidence_option,test_risk_at_80,190,0.01710825358851675,0.012499999999999997,0.01288262915812258,0.021315187827523358,4.43467905072866e-12,119,44
hidden_pca - confidence_option,test_risk_at_60,190,0.02822674502347823,0.016666666666666663,0.021432964595396536,0.03582060035145335,2.8372203549750424e-12,123,43
hidden_pca - confidence_option,test_risk_at_40,190,0.03472431077694236,0.012499999999999997,0.02505477636398689,0.04522438909774436,1.2026000123613334e-08,102,49
hidden_pca - confidence_option,test_aurc,190,0.029284197324192105,0.011325172399446998,0.022296558176001315,0.03699698626129195,5.795795255112079e-12,133,57
hidden_pca - confidence_option,test_eaurc,190,0.029284197324192105,0.011325172399446998,0.022296558176001315,0.03699698626129195,5.795795255112079e-12,133,57
hidden_pca - confidence_option,test_failure_precision_at_20_abstain,190,-0.06708646616541354,-0.04999999999999993,-0.08372885338345866,-0.05034993734335839,1.420067001058767e-11,45,118
hidden_pca - confidence_option,test_failure_recall_at_20_abstain,190,-0.06149888962453226,-0.026243331612459148,-0.08005993792899976,-0.04404489837547393,5.598499793135497e-10,45,118
