comparison,metric,n_pairs,mean_delta,median_delta,ci_low,ci_high,wilcoxon_p,positive_cases,negative_cases
cheap_plus_hidden_pca - confidence_option,test_auroc_correct,170,-0.0085616725165452,-0.001335900988566785,-0.01877296425866467,-0.0005567790457340805,0.27367567148132665,80,90
cheap_plus_hidden_pca - confidence_option,test_auprc_failure,170,2.3285862790276166e-05,-0.0016562716998909932,-0.009435389010907484,0.009334158120358153,0.8439587476496873,82,88
cheap_plus_hidden_pca - confidence_option,test_risk_at_80,170,-0.0005743888464476681,0.0,-0.0037500039788642718,0.002478430576776166,0.9160540845702686,66,70
cheap_plus_hidden_pca - confidence_option,test_risk_at_60,170,0.0011083743842364533,0.0,-0.0030584653401590513,0.005304326040761133,0.4491839045857827,65,60
cheap_plus_hidden_pca - confidence_option,test_risk_at_40,170,0.0017331932773109234,0.0,-0.0034182759642318477,0.00727381625727214,0.3865369700567979,62,50
cheap_plus_hidden_pca - confidence_option,test_aurc,170,0.002259900714910346,-0.0005689636566691761,-0.0008856279837968557,0.005478843746815125,0.49014378091204946,81,89
cheap_plus_hidden_pca - confidence_option,test_eaurc,170,0.002259900714910346,-0.0005689636566691761,-0.000885627983796856,0.005478843746815125,0.49014378091204946,81,89
cheap_plus_hidden_pca - confidence_option,test_failure_precision_at_20_abstain,170,0.0035084033613445357,0.0,-0.00853676470588236,0.01612167366946779,0.7040083935902983,71,65
cheap_plus_hidden_pca - confidence_option,test_failure_recall_at_20_abstain,170,-0.001864294286720872,0.0,-0.01610123059048651,0.011499320679071126,0.6694942596306921,71,65
hidden_pca - confidence_option,test_auroc_correct,170,-0.06455071128409032,-0.027192555991575662,-0.08135934017918395,-0.048600397965605044,1.6949538355747022e-13,44,125
hidden_pca - confidence_option,test_auprc_failure,170,-0.0740093055268053,-0.04426316647537484,-0.09253848959985504,-0.056092746303476375,1.638296527059687e-11,49,121
hidden_pca - confidence_option,test_risk_at_80,170,0.016461675579322637,0.010714285714285697,0.011919973102877518,0.02133078686019863,5.88221175803062e-10,104,42
hidden_pca - confidence_option,test_risk_at_60,170,0.025616166006632538,0.016666666666666663,0.018404818249138734,0.03333480633632764,5.555958217759328e-10,107,40
hidden_pca - confidence_option,test_risk_at_40,170,0.03165266106442577,0.010714285714285706,0.021826997145011847,0.04215562378797673,4.3322568274525037e-07,87,44
hidden_pca - confidence_option,test_aurc,170,0.02590897783151792,0.00898679661841788,0.018835064334327755,0.03336778905052016,9.513696300981055e-10,116,54
hidden_pca - confidence_option,test_eaurc,170,0.02590897783151792,0.00898679661841788,0.018835064334327755,0.03336778905052016,9.513696300981055e-10,116,54
hidden_pca - confidence_option,test_failure_precision_at_20_abstain,170,-0.06434173669467787,-0.03571428571428581,-0.08352643557422972,-0.046005602240896344,1.6375115188472709e-09,43,103
hidden_pca - confidence_option,test_failure_recall_at_20_abstain,170,-0.06570746366654746,-0.02899159663865547,-0.08713185415619967,-0.04576529691216051,5.887216288049065e-09,43,103
